web-scraper-order,web-scraper-start-url,product-link,product-link-href,name,description,price,Main Image URL,Product Gallery Images,Product Gallery Images-src
"1720633853-1","https://www.newegg.ca/Gaming-Desktops/SubCategory/ID-3742","MSI Gaming Desktop Aegis Z 7NUE-676US AMD Ryzen 7 7700 16GB DDR5 1 TB PCIe SSD GeForce RTX 4070 SUPER Windows 11 Home 64-bit","https://www.newegg.ca/msi-aegis-z-7nue-676us/p/N82E16883151408","MSI Gaming Desktop Aegis Z 7NUE-676US AMD Ryzen 7 7700 16GB DDR5 1 TB PCIe SSD GeForce RTX 4070 SUPER Windows 11 Home 64-bit","AMD Ryzen 7 7700 
16GB DDR5 
1 TB PCIe SSD 
Windows 11 Home 64-bit 
GeForce RTX 4070 SUPER 12 GB GDDR6X 
Virtual Reality Ready","$2,099.00","https://c1.neweggimages.com/ProductImageCompressAll60/83-151-408-01.jpg","[{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-151-408-01.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-151-408-02.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-151-408-03.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-151-408-04.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-151-408-05.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-151-408-01.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":null},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-151-408-02.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-151-408-03.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-151-408-04.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-151-408-05.jpg""}]",""
"1720633856-2","https://www.newegg.ca/Gaming-Desktops/SubCategory/ID-3742","MSI Gaming Desktop Codex R2 B14NUD7-093US Intel Core i7-14700F 16GB DDR5 1 TB PCIe SSD GeForce RTX 4060 Ti Windows 11 Home 64-bit","https://www.newegg.ca/msi-codex-r2-b14nud7-093us-intel-core-i7-14700f-geforce-rtx-4060-ti-16gb-ddr5-1-tb-pcie/p/N82E16883151400","MSI Gaming Desktop Codex R2 B14NUD7-093US Intel Core i7-14700F 16GB DDR5 1 TB PCIe SSD GeForce RTX 4060 Ti Windows 11 Home 64-bit","Intel Core i7-14700F 
16GB DDR5 
1 TB PCIe SSD 
Windows 11 Home 64-bit 
GeForce RTX 4060 Ti 8 GB GDDR6 
Virtual Reality Ready","$1,599.97","https://c1.neweggimages.com/ProductImageCompressAll60/83-151-398-01.jpg","[{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-151-398-01.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-151-398-02.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-151-398-03.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-151-398-04.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-151-398-05.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-151-398-06.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-151-398-07.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-151-398-08.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-151-398-10.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-151-398-01.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":null},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-151-398-02.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-151-398-03.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-151-398-04.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-151-398-05.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-151-398-06.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-151-398-07.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-151-398-08.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-151-398-10.jpg""}]",""
"1720633861-3","https://www.newegg.ca/Gaming-Desktops/SubCategory/ID-3742","ABS Kaze Aqua Gaming PC - Windows 11 - i9 14900KF - GeForce RTX 4070 Super - DLSS 3.5 - AI-Powered Performance - 32GB DDR5 6000MHz - 1TB M.2 NVMe SSD - KA14900KF4070S","https://www.newegg.ca/abs-ka14900kf4070s-kaze-aqua/p/N82E16883360499","ABS Kaze Aqua Gaming PC - Windows 11 - i9 14900KF - GeForce RTX 4070 Super - DLSS 3.5 - AI-Powered Performance - 32GB DDR5 6000MHz - 1TB M.2 NVMe SSD - KA14900KF4070S","Operating System: Windows 11 Home
CPU: Intel Core i9 14900KF 3.2GHz (6.0Ghz Turbo Boost Max) 8 P-Core, 16 E-Core, 32-Thread Processor
GPU: MSI RTX 4070 Super Ventus 3X with support for DLSS 3.5 - AI-Powered Performance 
Motherboard: Asus Prime Z790-V ATX Wifi Motherboard
RAM: TeamGroup Delta RGB 32GB DDR5 6000 MHz (2x16GB)
SSD: Kingston 1TB M.2 NVMe SSD
CPU Cooler: EKWB RGB 360MM AIO Liquid Cooler
PSU: ABS Cyclone 750W 80+ Gold PSU
Case: ABS Kaze ATX Gaming Case Obsidian Black
Dimension: 225*480*410mm
Wi-Fi: Wi-Fi 5
Bluetooth: Bluetooth 5.0
VR Ready: Yes","$2,999.99","https://c1.neweggimages.com/ProductImageCompressAll60/83-360-499-01.jpg","[{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-360-499-01.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-360-499-02.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-360-499-03.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-360-499-04.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-360-499-05.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-360-499-06.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-360-499-07.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-360-499-08.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-360-499-01.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":null},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-360-499-02.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-360-499-03.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-360-499-04.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-360-499-05.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-360-499-06.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-360-499-07.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-360-499-08.jpg""}]",""
"1720633867-4","https://www.newegg.ca/Gaming-Desktops/SubCategory/ID-3742","Yeyian Tanto Gaming PC Desktop INTEL Core i5 13400F, Nvidia RTX 4060, 1TB NVMe SSD, 16GB DDR5 5600MHz, 650W Gold PSU, AC Wi-Fi, Window 11 64bit- YPI-TA34F0B-4601N","https://www.newegg.ca/yeyian-ypi-ta34f0b-4601n/p/N82E16883630042","Yeyian Tanto Gaming PC Desktop INTEL Core i5 13400F, Nvidia RTX 4060, 1TB NVMe SSD, 16GB DDR5 5600MHz, 650W Gold PSU, AC Wi-Fi, Window 11 64bit- YPI-TA34F0B-4601N","System with INTEL Core i5 13400F (2.50GHz) CPU Processor.
NVIDIA Geforce RTX 4060 GDDR6 Graphics Card.
Intel B760 Chipset Motherboard.
1TB NVMe M.2 SSD.
16GB DDR5 5600MHz Gaming memory.
4 x ARGB PWN Cooling system.
650W Gold Plus PSU.
WiFi : YES
VR Ready : YES
Window 11 Home instaled.
Fully covers 3Years Labor, 2Years Parts warranty.
All Yeyian Gaming PC assembled in USA.","$1,199.99","https://c1.neweggimages.com/ProductImageCompressAll60/83-630-042-04.jpg","[{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-630-042-04.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-630-042-05.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-630-042-01.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-630-042-06.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-630-042-07.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-630-042-03.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-630-042-02.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-630-042-04.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":null},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-630-042-05.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-630-042-01.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-630-042-06.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-630-042-07.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-630-042-03.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-630-042-02.jpg""}]",""
"1720633873-5","https://www.newegg.ca/Gaming-Desktops/SubCategory/ID-3742","ABS Cyclone Aqua Gaming PC - Windows 11 - Intel i5 14400F - GeForce RTX 4060 - DLSS 3.5 - AI-Powered Performance - 32GB DDR5 6000MHz - 1TB M.2 NVMe SSD - CA14400F4060","https://www.newegg.ca/abs-ca14400f4060-cyclone-aqua/p/N82E16883360497","ABS Cyclone Aqua Gaming PC - Windows 11 - Intel i5 14400F - GeForce RTX 4060 - DLSS 3.5 - AI-Powered Performance - 32GB DDR5 6000MHz - 1TB M.2 NVMe SSD - CA14400F4060","Operating System: Windows 11 Home
CPU: Intel Core i5 14400F 2.5GHz (4.7GHz Turbo Boost Max) 6 P-Core, 4 E-Core, 16-Thread Processor
GPU: MSI RTX 4060 Ventus 2X with support for DLSS 3.5 - AI-Powered Performance 
Motherboard: Gigabyte B760M-C Wifi Motherboard
RAM: TeamGroup Delta RGB 32GB DDR5 6000 MHz (2x16GB)
SSD: Kingston 1TB M.2 NVMe SSD
CPU Cooler: Intel RM1 Air Cooler
PSU: ABS Cyclone 650W 80+ Gold PSU
Case: ABS Cyclone mATX Gaming Case Obsidian Black
Dimension: 200mm * 415mm * 320.5mm
Wi-Fi: Wi-Fi 5
Bluetooth: Bluetooth 4.2
VR Ready: Yes","$1,799.99","https://c1.neweggimages.com/ProductImageCompressAll60/83-360-497-01.jpg","[{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-360-497-01.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-360-497-02.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-360-497-03.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-360-497-04.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-360-497-05.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-360-497-06.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-360-497-07.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-360-497-08.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-360-497-01.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":null},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-360-497-02.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-360-497-03.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-360-497-04.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-360-497-05.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-360-497-06.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-360-497-07.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-360-497-08.jpg""}]",""
"1720633880-6","https://www.newegg.ca/Gaming-Desktops/SubCategory/ID-3742","ABS Stratos Aqua Gaming PC - Intel i7 14700F - GeForce RTX 4060 - DLSS 3.5 - AI-Powered Performance - 32GB DDR5 6000MHz - 1TB M.2 NVMe SSD - SA14700F4060","https://www.newegg.ca/abs-sa14700f4060-stratos-aqua/p/N82E16883360466","ABS Stratos Aqua Gaming PC - Intel i7 14700F - GeForce RTX 4060 - DLSS 3.5 - AI-Powered Performance - 32GB DDR5 6000MHz - 1TB M.2 NVMe SSD - SA14700F4060","Operating System: Windows 11 Home
CPU: Intel Core i7 14700F 8 P-Core, 12 E-Core, 28-Thread Processor
GPU: Gigabyte GeForce RTX 4060 Windforce 8G with support for DLSS 3.5 - AI-Powered Performance 
Motherboard: MSI B760-VC Motherboard
RAM: TeamGroup Delta RGB 32GB DDR5 6000 MHz (2x16GB)
SSD: Kingston 1TB M.2 NVMe SSD
CPU Cooler: ABS RGB Tower Air Cooler
PSU: Thermaltake 600W 80+ Gold
Case: ABS Stratos S200 Obsidian Black
Dimension: 18.11"" x 8.27"" x 15.56"" 
Wi-Fi: Wi-Fi 5
Bluetooth: Bluetooth 5.1
VR Ready: Yes","$2,099.99","https://c1.neweggimages.com/ProductImageCompressAll60/83-360-466-01.jpg","[{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-360-466-01.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-360-466-02.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-360-466-03.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-360-466-04.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-360-466-05.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-360-466-06.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-360-466-07.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImage/83-360-466-08.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-360-466-01.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":null},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-360-466-02.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-360-466-03.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-360-466-04.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-360-466-05.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-360-466-06.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-360-466-07.jpg""},{""Product Gallery Images"":"""",""Product Gallery Images-src"":""https://c1.neweggimages.com/ProductImageCompressAll60/83-360-466-08.jpg""}]",""
"1720633884-7","https://www.newegg.ca/Gaming-Desktops/SubCategory/ID-3742","ABS Stratos Aqua Gaming PC - Windows 11 - Intel i7 14700KF - GeForce RTX 4070 Super - DLSS 3 - AI-Powered Performance - 32GB DDR5 6000MHz - 1TB M.2 NVMe SSD - SA14700KF4070S","https://www.newegg.ca/abs-sa14700kf4070s-stratos-aqua/p/N82E16883360472","ABS Stratos Aqua Gaming PC - Windows 11 - Intel i7 14700KF - GeForce RTX 4070 Super - DLSS 3 - AI-Powered Performance - 32GB DDR5 6000MHz - 1TB M.2 NVMe SSD - SA14700KF4070S","Operating System: Windows 11 Home
CPU: Intel Core i7 14700KF 8 P-Core, 12 E-Core, 28-Thread Processor
GPU: MSI GeForce RTX 4070 Super Ventus 2X with support for DLSS 3 - AI-Powered Performance 
Motherboard: MSI B760-VC Motherboard
RAM: TeamGroup Delta RGB 32GB DDR5 6000 MHz (2x16GB)
SSD: Kingston 1TB M.2 NVMe SSD
CPU Cooler: Thermaltake 240MM RGB AIO Liquid Cooler
PSU: ABS ATX 750W 80+ Gold
Case: ABS Stratos S200 Obsidian Black
Dimension: 18.11"" x 8.27"" x 15.56"" 
Wi-Fi: Wi-Fi 5
Bluetooth: Bluetooth 4.2
